initial,medial,nucleus,coda,tone,syllable
"h","","e","u","1","heu_1"
"h","","e","u","2","heu_2"
"h","","e","u","3","heu_3"
"h","","e","u","4","heu_4"
"h","","e","u","5","heu_5"
"h","","e","u","6","heu_6"
"h","","e","y","1","hey_1"
"h","","e","y","2","hey_2"
"h","","e","y","3","hey_3"
"h","","e","y","4","hey_4"
"h","","e","y","5","hey_5"
"h","","e","y","6","hey_6"
"h","","i","","1","hi_1"
"h","","i","","2","hi_2"
"h","","i","","3","hi_3"
"h","","i","","4","hi_4"
"h","","i","","5","hi_5"
"h","","i","","6","hi_6"
"h","","i","c","1","hic_1"
"h","","i","c","2","hic_2"
"h","","i","c","3","hic_3"
"h","","i","c","4","hic_4"
"h","","i","c","5","hic_5"
"h","","i","c","6","hic_6"
"h","","i","ch","1","hich_1"
"h","","i","ch","2","hich_2"
"h","","i","ch","3","hich_3"
"h","","i","ch","4","hich_4"
"h","","i","ch","5","hich_5"
"h","","i","ch","6","hich_6"
"h","","i","i","1","hii_1"
"h","","i","i","2","hii_2"
"h","","i","i","3","hii_3"
"h","","i","i","4","hii_4"
"h","","i","i","5","hii_5"
"h","","i","i","6","hii_6"
"h","","i","m","1","him_1"
"h","","i","m","2","him_2"
"h","","i","m","3","him_3"
"h","","i","m","4","him_4"
"h","","i","m","5","him_5"
"h","","i","m","6","him_6"
"h","","i","n","1","hin_1"
"h","","i","n","2","hin_2"
"h","","i","n","3","hin_3"
"h","","i","n","4","hin_4"
"h","","i","n","5","hin_5"
"h","","i","n","6","hin_6"
"h","","i","ng","1","hing_1"
"h","","i","ng","2","hing_2"
"h","","i","ng","3","hing_3"
"h","","i","ng","4","hing_4"
"h","","i","ng","5","hing_5"
"h","","i","ng","6","hing_6"
"h","","i","nh","1","hinh_1"
"h","","i","nh","2","hinh_2"
"h","","i","nh","3","hinh_3"
"h","","i","nh","4","hinh_4"
"h","","i","nh","5","hinh_5"
"h","","i","nh","6","hinh_6"
"h","","i","o","1","hio_1"
"h","","i","o","2","hio_2"
"h","","i","o","3","hio_3"
"h","","i","o","4","hio_4"
"h","","i","o","5","hio_5"
"h","","i","o","6","hio_6"
"h","","i","p","1","hip_1"
"h","","i","p","2","hip_2"
"h","","i","p","3","hip_3"
"h","","i","p","4","hip_4"
"h","","i","p","5","hip_5"
"h","","i","p","6","hip_6"
"h","","i","t","1","hit_1"
"h","","i","t","2","hit_2"
"h","","i","t","3","hit_3"
"h","","i","t","4","hit_4"
"h","","i","t","5","hit_5"
"h","","i","t","6","hit_6"
"h","","i","u","1","hiu_1"
"h","","i","u","2","hiu_2"
"h","","i","u","3","hiu_3"
"h","","i","u","4","hiu_4"
"h","","i","u","5","hiu_5"
"h","","i","u","6","hiu_6"
"h","","i","y","1","hiy_1"
"h","","i","y","2","hiy_2"
"h","","i","y","3","hiy_3"
"h","","i","y","4","hiy_4"
"h","","i","y","5","hiy_5"
"h","","i","y","6","hiy_6"
"h","","ia","","1","hia_1"
"h","","ia","","2","hia_2"
"h","","ia","","3","hia_3"
"h","","ia","","4","hia_4"
"h","","ia","","5","hia_5"
"h","","ia","","6","hia_6"
"h","","ia","c","1","hiac_1"
"h","","ia","c","2","hiac_2"
"h","","ia","c","3","hiac_3"
"h","","ia","c","4","hiac_4"
"h","","ia","c","5","hiac_5"
"h","","ia","c","6","hiac_6"
"h","","ia","ch","1","hiach_1"
"h","","ia","ch","2","hiach_2"
"h","","ia","ch","3","hiach_3"
"h","","ia","ch","4","hiach_4"
"h","","ia","ch","5","hiach_5"
"h","","ia","ch","6","hiach_6"
"h","","ia","i","1","hiai_1"
"h","","ia","i","2","hiai_2"
"h","","ia","i","3","hiai_3"
"h","","ia","i","4","hiai_4"
"h","","ia","i","5","hiai_5"
"h","","ia","i","6","hiai_6"
"h","","ia","m","1","hiam_1"
"h","","ia","m","2","hiam_2"
"h","","ia","m","3","hiam_3"
"h","","ia","m","4","hiam_4"
"h","","ia","m","5","hiam_5"
"h","","ia","m","6","hiam_6"
"h","","ia","n","1","hian_1"
"h","","ia","n","2","hian_2"
"h","","ia","n","3","hian_3"
"h","","ia","n","4","hian_4"
"h","","ia","n","5","hian_5"
"h","","ia","n","6","hian_6"
"h","","ia","ng","1","hiang_1"
"h","","ia","ng","2","hiang_2"
"h","","ia","ng","3","hiang_3"
"h","","ia","ng","4","hiang_4"
"h","","ia","ng","5","hiang_5"
"h","","ia","ng","6","hiang_6"
"h","","ia","nh","1","hianh_1"
"h","","ia","nh","2","hianh_2"
"h","","ia","nh","3","hianh_3"
"h","","ia","nh","4","hianh_4"
"h","","ia","nh","5","hianh_5"
"h","","ia","nh","6","hianh_6"
"h","","ia","o","1","hiao_1"
"h","","ia","o","2","hiao_2"
"h","","ia","o","3","hiao_3"
"h","","ia","o","4","hiao_4"
"h","","ia","o","5","hiao_5"
"h","","ia","o","6","hiao_6"
"h","","ia","p","1","hiap_1"
"h","","ia","p","2","hiap_2"
"h","","ia","p","3","hiap_3"
"h","","ia","p","4","hiap_4"
"h","","ia","p","5","hiap_5"
"h","","ia","p","6","hiap_6"
"h","","ia","t","1","hiat_1"
"h","","ia","t","2","hiat_2"
"h","","ia","t","3","hiat_3"
"h","","ia","t","4","hiat_4"
"h","","ia","t","5","hiat_5"
"h","","ia","t","6","hiat_6"
"h","","ia","u","1","hiau_1"
"h","","ia","u","2","hiau_2"
"h","","ia","u","3","hiau_3"
"h","","ia","u","4","hiau_4"
"h","","ia","u","5","hiau_5"
"h","","ia","u","6","hiau_6"
"h","","ia","y","1","hiay_1"
"h","","ia","y","2","hiay_2"
"h","","ia","y","3","hiay_3"
"h","","ia","y","4","hiay_4"
"h","","ia","y","5","hiay_5"
"h","","ia","y","6","hiay_6"
"h","","iê","","1","hiê_1"
"h","","iê","","2","hiê_2"
"h","","iê","","3","hiê_3"
"h","","iê","","4","hiê_4"
"h","","iê","","5","hiê_5"
"h","","iê","","6","hiê_6"
"h","","iê","c","1","hiêc_1"
"h","","iê","c","2","hiêc_2"
"h","","iê","c","3","hiêc_3"
"h","","iê","c","4","hiêc_4"
"h","","iê","c","5","hiêc_5"
"h","","iê","c","6","hiêc_6"
"h","","iê","ch","1","hiêch_1"
"h","","iê","ch","2","hiêch_2"
"h","","iê","ch","3","hiêch_3"
"h","","iê","ch","4","hiêch_4"
"h","","iê","ch","5","hiêch_5"
"h","","iê","ch","6","hiêch_6"
"h","","iê","i","1","hiêi_1"
"h","","iê","i","2","hiêi_2"
"h","","iê","i","3","hiêi_3"
"h","","iê","i","4","hiêi_4"
"h","","iê","i","5","hiêi_5"
"h","","iê","i","6","hiêi_6"
"h","","iê","m","1","hiêm_1"
"h","","iê","m","2","hiêm_2"
"h","","iê","m","3","hiêm_3"
"h","","iê","m","4","hiêm_4"
"h","","iê","m","5","hiêm_5"
"h","","iê","m","6","hiêm_6"
"h","","iê","n","1","hiên_1"
"h","","iê","n","2","hiên_2"
"h","","iê","n","3","hiên_3"
"h","","iê","n","4","hiên_4"
"h","","iê","n","5","hiên_5"
"h","","iê","n","6","hiên_6"
"h","","iê","ng","1","hiêng_1"
"h","","iê","ng","2","hiêng_2"
"h","","iê","ng","3","hiêng_3"
"h","","iê","ng","4","hiêng_4"
"h","","iê","ng","5","hiêng_5"
"h","","iê","ng","6","hiêng_6"
"h","","iê","nh","1","hiênh_1"
"h","","iê","nh","2","hiênh_2"
"h","","iê","nh","3","hiênh_3"
"h","","iê","nh","4","hiênh_4"
"h","","iê","nh","5","hiênh_5"
"h","","iê","nh","6","hiênh_6"
"h","","iê","o","1","hiêo_1"
"h","","iê","o","2","hiêo_2"
"h","","iê","o","3","hiêo_3"
"h","","iê","o","4","hiêo_4"
"h","","iê","o","5","hiêo_5"
"h","","iê","o","6","hiêo_6"
"h","","iê","p","1","hiêp_1"
"h","","iê","p","2","hiêp_2"
"h","","iê","p","3","hiêp_3"
"h","","iê","p","4","hiêp_4"
"h","","iê","p","5","hiêp_5"
"h","","iê","p","6","hiêp_6"
"h","","iê","t","1","hiêt_1"
"h","","iê","t","2","hiêt_2"
"h","","iê","t","3","hiêt_3"
"h","","iê","t","4","hiêt_4"
"h","","iê","t","5","hiêt_5"
"h","","iê","t","6","hiêt_6"
"h","","iê","u","1","hiêu_1"
"h","","iê","u","2","hiêu_2"
"h","","iê","u","3","hiêu_3"
"h","","iê","u","4","hiêu_4"
"h","","iê","u","5","hiêu_5"
"h","","iê","u","6","hiêu_6"
"h","","iê","y","1","hiêy_1"
"h","","iê","y","2","hiêy_2"
"h","","iê","y","3","hiêy_3"
"h","","iê","y","4","hiêy_4"
"h","","iê","y","5","hiêy_5"
"h","","iê","y","6","hiêy_6"
"h","","o","","1","ho_1"
"h","","o","","2","ho_2"
"h","","o","","3","ho_3"
"h","","o","","4","ho_4"
"h","","o","","5","ho_5"
"h","","o","","6","ho_6"
"h","","o","c","1","hoc_1"
"h","","o","c","2","hoc_2"
"h","","o","c","3","hoc_3"
"h","","o","c","4","hoc_4"
"h","","o","c","5","hoc_5"
"h","","o","c","6","hoc_6"
"h","","o","ch","1","hoch_1"
"h","","o","ch","2","hoch_2"
"h","","o","ch","3","hoch_3"
"h","","o","ch","4","hoch_4"
"h","","o","ch","5","hoch_5"
"h","","o","ch","6","hoch_6"
"h","","o","i","1","hoi_1"
"h","","o","i","2","hoi_2"
"h","","o","i","3","hoi_3"
"h","","o","i","4","hoi_4"
"h","","o","i","5","hoi_5"
"h","","o","i","6","hoi_6"
"h","","o","m","1","hom_1"
"h","","o","m","2","hom_2"
"h","","o","m","3","hom_3"
"h","","o","m","4","hom_4"
"h","","o","m","5","hom_5"
"h","","o","m","6","hom_6"
"h","","o","n","1","hon_1"
"h","","o","n","2","hon_2"
"h","","o","n","3","hon_3"
"h","","o","n","4","hon_4"
"h","","o","n","5","hon_5"
"h","","o","n","6","hon_6"
"h","","o","ng","1","hong_1"
"h","","o","ng","2","hong_2"
"h","","o","ng","3","hong_3"
"h","","o","ng","4","hong_4"
"h","","o","ng","5","hong_5"
"h","","o","ng","6","hong_6"
"h","","o","nh","1","honh_1"
"h","","o","nh","2","honh_2"
"h","","o","nh","3","honh_3"
"h","","o","nh","4","honh_4"
"h","","o","nh","5","honh_5"
"h","","o","nh","6","honh_6"
"h","","o","o","1","hoo_1"
"h","","o","o","2","hoo_2"
"h","","o","o","3","hoo_3"
"h","","o","o","4","hoo_4"
"h","","o","o","5","hoo_5"
"h","","o","o","6","hoo_6"
"h","","o","p","1","hop_1"
"h","","o","p","2","hop_2"
"h","","o","p","3","hop_3"
"h","","o","p","4","hop_4"
"h","","o","p","5","hop_5"
"h","","o","p","6","hop_6"
"h","","o","t","1","hot_1"
"h","","o","t","2","hot_2"
"h","","o","t","3","hot_3"
"h","","o","t","4","hot_4"
"h","","o","t","5","hot_5"
"h","","o","t","6","hot_6"
"h","","o","u","1","hou_1"
"h","","o","u","2","hou_2"
"h","","o","u","3","hou_3"
"h","","o","u","4","hou_4"
"h","","o","u","5","hou_5"
"h","","o","u","6","hou_6"
"h","","o","y","1","hoy_1"
"h","","o","y","2","hoy_2"
"h","","o","y","3","hoy_3"
"h","","o","y","4","hoy_4"
"h","","o","y","5","hoy_5"
"h","","o","y","6","hoy_6"
"h","","oo","c","1","hooc_1"
"h","","oo","c","2","hooc_2"
"h","","oo","c","3","hooc_3"
"h","","oo","c","4","hooc_4"
"h","","oo","c","5","hooc_5"
"h","","oo","c","6","hooc_6"
"h","","oo","ch","1","hooch_1"
"h","","oo","ch","2","hooch_2"
"h","","oo","ch","3","hooch_3"
"h","","oo","ch","4","hooch_4"
"h","","oo","ch","5","hooch_5"
"h","","oo","ch","6","hooch_6"
"h","","oo","i","1","hooi_1"
"h","","oo","i","2","hooi_2"
"h","","oo","i","3","hooi_3"
"h","","oo","i","4","hooi_4"
"h","","oo","i","5","hooi_5"
"h","","oo","i","6","hooi_6"
"h","","oo","m","1","hoom_1"
"h","","oo","m","2","hoom_2"
"h","","oo","m","3","hoom_3"
"h","","oo","m","4","hoom_4"
"h","","oo","m","5","hoom_5"
"h","","oo","m","6","hoom_6"
"h","","oo","n","1","hoon_1"
"h","","oo","n","2","hoon_2"
"h","","oo","n","3","hoon_3"
"h","","oo","n","4","hoon_4"
"h","","oo","n","5","hoon_5"
"h","","oo","n","6","hoon_6"
"h","","oo","ng","1","hoong_1"
"h","","oo","ng","2","hoong_2"
"h","","oo","ng","3","hoong_3"
"h","","oo","ng","4","hoong_4"
"h","","oo","ng","5","hoong_5"
"h","","oo","ng","6","hoong_6"
"h","","oo","nh","1","hoonh_1"
"h","","oo","nh","2","hoonh_2"
"h","","oo","nh","3","hoonh_3"
"h","","oo","nh","4","hoonh_4"
"h","","oo","nh","5","hoonh_5"
"h","","oo","nh","6","hoonh_6"
"h","","oo","o","1","hooo_1"
"h","","oo","o","2","hooo_2"
"h","","oo","o","3","hooo_3"
"h","","oo","o","4","hooo_4"
"h","","oo","o","5","hooo_5"
"h","","oo","o","6","hooo_6"
"h","","oo","p","1","hoop_1"
"h","","oo","p","2","hoop_2"
"h","","oo","p","3","hoop_3"
"h","","oo","p","4","hoop_4"
"h","","oo","p","5","hoop_5"
"h","","oo","p","6","hoop_6"
"h","","oo","t","1","hoot_1"
"h","","oo","t","2","hoot_2"
"h","","oo","t","3","hoot_3"
"h","","oo","t","4","hoot_4"
"h","","oo","t","5","hoot_5"
"h","","oo","t","6","hoot_6"
"h","","oo","u","1","hoou_1"
"h","","oo","u","2","hoou_2"
"h","","oo","u","3","hoou_3"
"h","","oo","u","4","hoou_4"
"h","","oo","u","5","hoou_5"
"h","","oo","u","6","hoou_6"
"h","","oo","y","1","hooy_1"
"h","","oo","y","2","hooy_2"
"h","","oo","y","3","hooy_3"
"h","","oo","y","4","hooy_4"
"h","","oo","y","5","hooy_5"
"h","","oo","y","6","hooy_6"
"h","","ô","","1","hô_1"
"h","","ô","","2","hô_2"
"h","","ô","","3","hô_3"
"h","","ô","","4","hô_4"
"h","","ô","","5","hô_5"
"h","","ô","","6","hô_6"
"h","","ô","c","1","hôc_1"
"h","","ô","c","2","hôc_2"
"h","","ô","c","3","hôc_3"
"h","","ô","c","4","hôc_4"
"h","","ô","c","5","hôc_5"
"h","","ô","c","6","hôc_6"
"h","","ô","ch","1","hôch_1"
"h","","ô","ch","2","hôch_2"
"h","","ô","ch","3","hôch_3"
"h","","ô","ch","4","hôch_4"
"h","","ô","ch","5","hôch_5"
"h","","ô","ch","6","hôch_6"
"h","","ô","i","1","hôi_1"
"h","","ô","i","2","hôi_2"
"h","","ô","i","3","hôi_3"
"h","","ô","i","4","hôi_4"
"h","","ô","i","5","hôi_5"
"h","","ô","i","6","hôi_6"
"h","","ô","m","1","hôm_1"
"h","","ô","m","2","hôm_2"
"h","","ô","m","3","hôm_3"
"h","","ô","m","4","hôm_4"
"h","","ô","m","5","hôm_5"
"h","","ô","m","6","hôm_6"
"h","","ô","n","1","hôn_1"
"h","","ô","n","2","hôn_2"
"h","","ô","n","3","hôn_3"
"h","","ô","n","4","hôn_4"
"h","","ô","n","5","hôn_5"
"h","","ô","n","6","hôn_6"
"h","","ô","ng","1","hông_1"
"h","","ô","ng","2","hông_2"
"h","","ô","ng","3","hông_3"
"h","","ô","ng","4","hông_4"
"h","","ô","ng","5","hông_5"
"h","","ô","ng","6","hông_6"
"h","","ô","nh","1","hônh_1"
"h","","ô","nh","2","hônh_2"
"h","","ô","nh","3","hônh_3"
"h","","ô","nh","4","hônh_4"
"h","","ô","nh","5","hônh_5"
"h","","ô","nh","6","hônh_6"
"h","","ô","o","1","hôo_1"
"h","","ô","o","2","hôo_2"
"h","","ô","o","3","hôo_3"
"h","","ô","o","4","hôo_4"
"h","","ô","o","5","hôo_5"
"h","","ô","o","6","hôo_6"
"h","","ô","p","1","hôp_1"
"h","","ô","p","2","hôp_2"
"h","","ô","p","3","hôp_3"
"h","","ô","p","4","hôp_4"
"h","","ô","p","5","hôp_5"
"h","","ô","p","6","hôp_6"
"h","","ô","t","1","hôt_1"
"h","","ô","t","2","hôt_2"
"h","","ô","t","3","hôt_3"
"h","","ô","t","4","hôt_4"
"h","","ô","t","5","hôt_5"
"h","","ô","t","6","hôt_6"
"h","","ô","u","1","hôu_1"
"h","","ô","u","2","hôu_2"
"h","","ô","u","3","hôu_3"
"h","","ô","u","4","hôu_4"
"h","","ô","u","5","hôu_5"
"h","","ô","u","6","hôu_6"
"h","","ô","y","1","hôy_1"
"h","","ô","y","2","hôy_2"
"h","","ô","y","3","hôy_3"
"h","","ô","y","4","hôy_4"
"h","","ô","y","5","hôy_5"
"h","","ô","y","6","hôy_6"
"h","","u","","1","hu_1"
"h","","u","","2","hu_2"
"h","","u","","3","hu_3"
"h","","u","","4","hu_4"
"h","","u","","5","hu_5"
"h","","u","","6","hu_6"
"h","","u","c","1","huc_1"
"h","","u","c","2","huc_2"
"h","","u","c","3","huc_3"
"h","","u","c","4","huc_4"
"h","","u","c","5","huc_5"
"h","","u","c","6","huc_6"
"h","","u","ch","1","huch_1"
"h","","u","ch","2","huch_2"
"h","","u","ch","3","huch_3"
"h","","u","ch","4","huch_4"
"h","","u","ch","5","huch_5"
"h","","u","ch","6","huch_6"
"h","","u","i","1","hui_1"
"h","","u","i","2","hui_2"
"h","","u","i","3","hui_3"
"h","","u","i","4","hui_4"
"h","","u","i","5","hui_5"
"h","","u","i","6","hui_6"
"h","","u","m","1","hum_1"
"h","","u","m","2","hum_2"
"h","","u","m","3","hum_3"
"h","","u","m","4","hum_4"
"h","","u","m","5","hum_5"
"h","","u","m","6","hum_6"
"h","","u","n","1","hun_1"
"h","","u","n","2","hun_2"
"h","","u","n","3","hun_3"
"h","","u","n","4","hun_4"
"h","","u","n","5","hun_5"
"h","","u","n","6","hun_6"
"h","","u","ng","1","hung_1"
"h","","u","ng","2","hung_2"
"h","","u","ng","3","hung_3"
"h","","u","ng","4","hung_4"
"h","","u","ng","5","hung_5"
"h","","u","ng","6","hung_6"
"h","","u","nh","1","hunh_1"
"h","","u","nh","2","hunh_2"
"h","","u","nh","3","hunh_3"
"h","","u","nh","4","hunh_4"
"h","","u","nh","5","hunh_5"
"h","","u","nh","6","hunh_6"
"h","","u","o","1","huo_1"
"h","","u","o","2","huo_2"
"h","","u","o","3","huo_3"
"h","","u","o","4","huo_4"
"h","","u","o","5","huo_5"
"h","","u","o","6","huo_6"
"h","","u","p","1","hup_1"
"h","","u","p","2","hup_2"
"h","","u","p","3","hup_3"
"h","","u","p","4","hup_4"
"h","","u","p","5","hup_5"
"h","","u","p","6","hup_6"
"h","","u","t","1","hut_1"
"h","","u","t","2","hut_2"
"h","","u","t","3","hut_3"
"h","","u","t","4","hut_4"
"h","","u","t","5","hut_5"
"h","","u","t","6","hut_6"
"h","","u","u","1","huu_1"
"h","","u","u","2","huu_2"
"h","","u","u","3","huu_3"
"h","","u","u","4","huu_4"
"h","","u","u","5","huu_5"
"h","","u","u","6","huu_6"
"h","","u","y","1","huy_1"
"h","","u","y","2","huy_2"
"h","","u","y","3","huy_3"
"h","","u","y","4","huy_4"
"h","","u","y","5","huy_5"
"h","","u","y","6","huy_6"
"h","","ua","","1","hua_1"
"h","","ua","","2","hua_2"
"h","","ua","","3","hua_3"
"h","","ua","","4","hua_4"
"h","","ua","","5","hua_5"
"h","","ua","","6","hua_6"
"h","","ua","c","1","huac_1"
"h","","ua","c","2","huac_2"
"h","","ua","c","3","huac_3"
"h","","ua","c","4","huac_4"
"h","","ua","c","5","huac_5"
"h","","ua","c","6","huac_6"
"h","","ua","ch","1","huach_1"
"h","","ua","ch","2","huach_2"
"h","","ua","ch","3","huach_3"
"h","","ua","ch","4","huach_4"
"h","","ua","ch","5","huach_5"
"h","","ua","ch","6","huach_6"
"h","","ua","i","1","huai_1"
"h","","ua","i","2","huai_2"
"h","","ua","i","3","huai_3"
"h","","ua","i","4","huai_4"
"h","","ua","i","5","huai_5"
"h","","ua","i","6","huai_6"
"h","","ua","m","1","huam_1"
"h","","ua","m","2","huam_2"
"h","","ua","m","3","huam_3"
"h","","ua","m","4","huam_4"
"h","","ua","m","5","huam_5"
"h","","ua","m","6","huam_6"
"h","","ua","n","1","huan_1"
"h","","ua","n","2","huan_2"
"h","","ua","n","3","huan_3"
"h","","ua","n","4","huan_4"
"h","","ua","n","5","huan_5"
"h","","ua","n","6","huan_6"
"h","","ua","ng","1","huang_1"
"h","","ua","ng","2","huang_2"
"h","","ua","ng","3","huang_3"
"h","","ua","ng","4","huang_4"
"h","","ua","ng","5","huang_5"
"h","","ua","ng","6","huang_6"
"h","","ua","nh","1","huanh_1"
"h","","ua","nh","2","huanh_2"
"h","","ua","nh","3","huanh_3"
"h","","ua","nh","4","huanh_4"
"h","","ua","nh","5","huanh_5"
"h","","ua","nh","6","huanh_6"
"h","","ua","o","1","huao_1"
"h","","ua","o","2","huao_2"
"h","","ua","o","3","huao_3"
"h","","ua","o","4","huao_4"
"h","","ua","o","5","huao_5"
"h","","ua","o","6","huao_6"
"h","","ua","p","1","huap_1"
"h","","ua","p","2","huap_2"
"h","","ua","p","3","huap_3"
"h","","ua","p","4","huap_4"
"h","","ua","p","5","huap_5"
"h","","ua","p","6","huap_6"
"h","","ua","t","1","huat_1"
"h","","ua","t","2","huat_2"
"h","","ua","t","3","huat_3"
"h","","ua","t","4","huat_4"
"h","","ua","t","5","huat_5"
"h","","ua","t","6","huat_6"
"h","","ua","u","1","huau_1"
"h","","ua","u","2","huau_2"
"h","","ua","u","3","huau_3"
"h","","ua","u","4","huau_4"
"h","","ua","u","5","huau_5"
"h","","ua","u","6","huau_6"
"h","","ua","y","1","huay_1"
"h","","ua","y","2","huay_2"
"h","","ua","y","3","huay_3"
"h","","ua","y","4","huay_4"
"h","","ua","y","5","huay_5"
"h","","ua","y","6","huay_6"
"h","","uô","","1","huô_1"
"h","","uô","","2","huô_2"
"h","","uô","","3","huô_3"
"h","","uô","","4","huô_4"
"h","","uô","","5","huô_5"
"h","","uô","","6","huô_6"
"h","","uô","c","1","huôc_1"
"h","","uô","c","2","huôc_2"
"h","","uô","c","3","huôc_3"
"h","","uô","c","4","huôc_4"
"h","","uô","c","5","huôc_5"
"h","","uô","c","6","huôc_6"
"h","","uô","ch","1","huôch_1"
"h","","uô","ch","2","huôch_2"
"h","","uô","ch","3","huôch_3"
"h","","uô","ch","4","huôch_4"
"h","","uô","ch","5","huôch_5"
"h","","uô","ch","6","huôch_6"
"h","","uô","i","1","huôi_1"
"h","","uô","i","2","huôi_2"
"h","","uô","i","3","huôi_3"
"h","","uô","i","4","huôi_4"
"h","","uô","i","5","huôi_5"
"h","","uô","i","6","huôi_6"
"h","","uô","m","1","huôm_1"
"h","","uô","m","2","huôm_2"
"h","","uô","m","3","huôm_3"
"h","","uô","m","4","huôm_4"
"h","","uô","m","5","huôm_5"
"h","","uô","m","6","huôm_6"
"h","","uô","n","1","huôn_1"
"h","","uô","n","2","huôn_2"
"h","","uô","n","3","huôn_3"
"h","","uô","n","4","huôn_4"
"h","","uô","n","5","huôn_5"
"h","","uô","n","6","huôn_6"
"h","","uô","ng","1","huông_1"
"h","","uô","ng","2","huông_2"
"h","","uô","ng","3","huông_3"
"h","","uô","ng","4","huông_4"
"h","","uô","ng","5","huông_5"
"h","","uô","ng","6","huông_6"
"h","","uô","nh","1","huônh_1"
"h","","uô","nh","2","huônh_2"
"h","","uô","nh","3","huônh_3"
"h","","uô","nh","4","huônh_4"
"h","","uô","nh","5","huônh_5"
"h","","uô","nh","6","huônh_6"
"h","","uô","o","1","huôo_1"
"h","","uô","o","2","huôo_2"
"h","","uô","o","3","huôo_3"
"h","","uô","o","4","huôo_4"
"h","","uô","o","5","huôo_5"
"h","","uô","o","6","huôo_6"
"h","","uô","p","1","huôp_1"
"h","","uô","p","2","huôp_2"
"h","","uô","p","3","huôp_3"
"h","","uô","p","4","huôp_4"
"h","","uô","p","5","huôp_5"
"h","","uô","p","6","huôp_6"
"h","","uô","t","1","huôt_1"
"h","","uô","t","2","huôt_2"
"h","","uô","t","3","huôt_3"
"h","","uô","t","4","huôt_4"
"h","","uô","t","5","huôt_5"
"h","","uô","t","6","huôt_6"
"h","","uô","u","1","huôu_1"
"h","","uô","u","2","huôu_2"
"h","","uô","u","3","huôu_3"
"h","","uô","u","4","huôu_4"
"h","","uô","u","5","huôu_5"
"h","","uô","u","6","huôu_6"
"h","","uô","y","1","huôy_1"
"h","","uô","y","2","huôy_2"
"h","","uô","y","3","huôy_3"
"h","","uô","y","4","huôy_4"
"h","","uô","y","5","huôy_5"
"h","","uô","y","6","huôy_6"
"h","","y","","1","hy_1"
"h","","y","","2","hy_2"
"h","","y","","3","hy_3"
"h","","y","","4","hy_4"
"h","","y","","5","hy_5"
"h","","y","","6","hy_6"
"h","","y","c","1","hyc_1"
"h","","y","c","2","hyc_2"
"h","","y","c","3","hyc_3"
"h","","y","c","4","hyc_4"
"h","","y","c","5","hyc_5"
"h","","y","c","6","hyc_6"
"h","","y","ch","1","hych_1"
"h","","y","ch","2","hych_2"
"h","","y","ch","3","hych_3"
"h","","y","ch","4","hych_4"
"h","","y","ch","5","hych_5"
"h","","y","ch","6","hych_6"
"h","","y","i","1","hyi_1"
"h","","y","i","2","hyi_2"
"h","","y","i","3","hyi_3"
"h","","y","i","4","hyi_4"
"h","","y","i","5","hyi_5"
"h","","y","i","6","hyi_6"
"h","","y","m","1","hym_1"
"h","","y","m","2","hym_2"
"h","","y","m","3","hym_3"
"h","","y","m","4","hym_4"
"h","","y","m","5","hym_5"
"h","","y","m","6","hym_6"
"h","","y","n","1","hyn_1"
"h","","y","n","2","hyn_2"
"h","","y","n","3","hyn_3"
"h","","y","n","4","hyn_4"
"h","","y","n","5","hyn_5"
"h","","y","n","6","hyn_6"
"h","","y","ng","1","hyng_1"
"h","","y","ng","2","hyng_2"
"h","","y","ng","3","hyng_3"
"h","","y","ng","4","hyng_4"
"h","","y","ng","5","hyng_5"
"h","","y","ng","6","hyng_6"
"h","","y","nh","1","hynh_1"
"h","","y","nh","2","hynh_2"
"h","","y","nh","3","hynh_3"
"h","","y","nh","4","hynh_4"
"h","","y","nh","5","hynh_5"
"h","","y","nh","6","hynh_6"
"h","","y","o","1","hyo_1"
"h","","y","o","2","hyo_2"
"h","","y","o","3","hyo_3"
"h","","y","o","4","hyo_4"
"h","","y","o","5","hyo_5"
"h","","y","o","6","hyo_6"
"h","","y","p","1","hyp_1"
"h","","y","p","2","hyp_2"
"h","","y","p","3","hyp_3"
"h","","y","p","4","hyp_4"
"h","","y","p","5","hyp_5"
"h","","y","p","6","hyp_6"
"h","","y","t","1","hyt_1"
"h","","y","t","2","hyt_2"
"h","","y","t","3","hyt_3"
"h","","y","t","4","hyt_4"
"h","","y","t","5","hyt_5"
"h","","y","t","6","hyt_6"
"h","","y","u","1","hyu_1"
"h","","y","u","2","hyu_2"
"h","","y","u","3","hyu_3"
"h","","y","u","4","hyu_4"
"h","","y","u","5","hyu_5"
"h","","y","u","6","hyu_6"
"h","","y","y","1","hyy_1"
"h","","y","y","2","hyy_2"
"h","","y","y","3","hyy_3"
"h","","y","y","4","hyy_4"
"h","","y","y","5","hyy_5"
"h","","y","y","6","hyy_6"
"h","","ya","","1","hya_1"
"h","","ya","","2","hya_2"
"h","","ya","","3","hya_3"
"h","","ya","","4","hya_4"
"h","","ya","","5","hya_5"
"h","","ya","","6","hya_6"
"h","","ya","c","1","hyac_1"
"h","","ya","c","2","hyac_2"
"h","","ya","c","3","hyac_3"
"h","","ya","c","4","hyac_4"
"h","","ya","c","5","hyac_5"
"h","","ya","c","6","hyac_6"
"h","","ya","ch","1","hyach_1"
"h","","ya","ch","2","hyach_2"
"h","","ya","ch","3","hyach_3"
"h","","ya","ch","4","hyach_4"
